ID,Creation time,Notes,Dev Internal,Name,Blocked,Regression,Story points,Owner,Phase,Severity,Sprint
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=134429"",""134429"")",Fri Jul 29 08:00:00 UTC 2016,,No,"[UFT Defect] When replay the UFT test from alm, if MC configuration in ALM is invalid, UFT should only load UFT settings itself",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=140090"",""140090"")",Mon Sep 26 08:00:00 UTC 2016,,No,[UFT][Gestures][Android][Hybrid OOA] not Performs the click on replay,No,,1,Jie Zhang (Sagi),Done,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=139499"",""139499"")",Thu Jan 28 08:00:00 UTC 2016,,No,Highlight error message need to be same both on browser and objects belong to it,No,New Feature Regression,,Jie Zhang (Sagi),Rejected,Low,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=134342"",""134342"")",Tue Jul 26 08:00:00 UTC 2016,,No,[I18N][UFT12.54] Hardcode strings in checkpoint error dailog.,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=124186"",""124186"")",Sun Apr 03 08:00:00 UTC 2016,,No,'[IOS][HP Mobile Web] Cannot choose an image in Google search image results - see attachment',No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=131128"",""131128"")",Thu Oct 15 08:00:00 UTC 2015,,No,[UFT Defect][Mobile Browser] Better to follow the RnR setting of the active test rather than the combination of all tests when adding a new test.,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=127818"",""127818"")",Tue Oct 13 08:00:00 UTC 2015,,No,[UFT Defect] [Mobile Browser] mobile metric settings always be off when open in RnR setting,No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138208"",""138208"")",Wed Dec 09 08:00:00 UTC 2015,,No,"[UFT Integration][Mobile Browser]If the mobile browser cannot be found by host and browser identifier, we should have the specific error for mobile device",No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138169"",""138169"")",Wed Dec 09 08:00:00 UTC 2015,,No,"[UFT Integration][Mobile Browser]The host should support space after colon, like ""mobilecenter: acbs234012945""",No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=132099"",""132099"")",Fri Oct 16 08:00:00 UTC 2015,,No,"[UFT Integration][Mobile Browser] The version property of mobile browser should not be ""Chrome 39""",No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138272"",""138272"")",Mon Sep 05 08:00:00 UTC 2016,,No,"[All 6 lans][L10N] The value of ""Launch on Start"" is untranslated.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=120548"",""120548"")",Tue Apr 12 08:00:00 UTC 2016,,No,[AWS]Sometime R&R setting window will have error when replay test.,No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=121688"",""121688"")",Fri Apr 22 08:00:00 UTC 2016,,No,"[L10N] [UFT12.53] There is a truncation in RnR settings ""Web"" tab after selecting mc apps, device and matrix.",No,Not a Regression,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=130859"",""130859"")",Sun Jul 10 08:00:00 UTC 2016,,No,"[L10N] [UFT12.54] Bad layout in RnR settings ""Mobile"" tab after selecting ""AUT Actions"" and ""Device Matrics"".",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=117009"",""117009"")",Tue Mar 08 08:00:00 UTC 2016,,No,MobileTabStrip is missing properties like 'all items' and 'selecteditem',No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=125254"",""125254"")",Tue May 03 08:00:00 UTC 2016,,No,"[UFT Defect] If add chinese manufacturer in data table to use data driving to run test between chrome emulator and mobile, it will be messy code",No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=123962"",""123962"")",Thu Apr 28 08:00:00 UTC 2016,,No,[UFT] Running Install and Restart command in FL encounter an error for mobile app (native and hybrid) in IOS.,Yes,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=129051"",""129051"")",Wed May 25 08:00:00 UTC 2016,,No,"[JA,FR, RU, DE][L10N] Bad layout when choose device in tools.",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138404"",""138404"")",Wed Jul 06 08:00:00 UTC 2016,,No,[MC defect] Version property of App TO in UFT object repository will be ignored in executing steps,Yes,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=135545"",""135545"")",Wed Nov 11 08:00:00 UTC 2015,,No,[UFT defect] Get error in RRV report if the screen is captured in a specific application.,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=141522"",""141522"")",Thu Feb 04 08:00:00 UTC 2016,,No,'[Windows Phone] - [UFT Defect] - need to add selectedItem and selectedIndex properties to MobileDropDown',No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=126284"",""126284"")",Tue Dec 06 08:00:00 UTC 2016,,No,"[MC 2.2] [New R&R Settings] [UFT] The list should show ""no available devices"" once there is no available devices for using.",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=124503"",""124503"")",Wed Dec 07 08:00:00 UTC 2016,,No,[MC 2.2] [New R&R Settings] [UFT] The validation of text edit Manufacture and Model is not implement correctly.,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=122671"",""122671"")",Mon Nov 28 08:00:00 UTC 2016,,No,[MC 2.2] [UFT] [New R&R Settings] The note for web Browser should not be shown when UFT is not connected to MC server,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=122491"",""122491"")",Thu Nov 24 08:00:00 UTC 2016,,No,[Safari 10] Cannot add object from embeded frame page,No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=127444"",""127444"")",Sun Jan 28 08:00:00 UTC 2018,Tsachi_Close,No,[Safari] the Link which will open a new tab could not active the click action during replay,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=119559"",""119559"")",Tue Apr 12 08:00:00 UTC 2016,,No,'[L10N] RnR Settings - Blurred text in the tip text for Web and Apple Safari',No,Legacy Feature Regression,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181599"",""181599"")",Thu Sep 13 15:36:57 UTC 2018,James: the fix may help to reduce the flickers but not the delay. candidate to reject or at least postpone,No,'[Browser Control - Chrome based] Spy hover flickers few times instead of once',No,Escaped Defect,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=261968"",""261968"")",Thu Mar 28 11:00:50 UTC 2019,,No,[Mac][Safari][UFT] UFT scripts on some web sites fails to run on Safari 12.0,Yes,New Feature,,Jie Zhang (Sagi),Rejected,High,Sprint 1
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=261972"",""261972"")",Thu Mar 28 15:03:23 UTC 2019,,No,[SRF] Fail to download UFT report of failed test,Yes,Escaped Defect,,Jie Zhang (Sagi),Rejected,High,Sprint 1
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=229084"",""229084"")",Wed Jan 23 10:30:59 UTC 2019,postpone,No,[Edge] Cannot record handle dialog operation,No,Escaped Defect,,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=124514"",""124514"")",Mon Mar 07 08:00:00 UTC 2016,,No,[LeanFT] Same property appear readonly or is editable on different pages,No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=137098"",""137098"")",Tue Feb 03 08:00:00 UTC 2015,,No,[UFT]LeanFT: Missing parent give ReplayObjectNotFountExeption instead ReplayParentMissingExeption,Yes,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=133761"",""133761"")",Thu May 10 08:00:00 UTC 2018,"4; Sagi: hard to implement, suggest postpone",No,'[Web Parallel] - Device Replay',No,,10,Jie Zhang (Sagi),New,,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=178137"",""178137"")",Thu Aug 09 05:37:32 UTC 2018,Sagi: to discuss,No,[SRF] Configuring SRF reporting capabilities for UFT remote execution (snapshots; video; report generation),No,,,Jie Zhang (Sagi),New,,
