Weekly users over time
Date,Weekly users
11/22/23,24524
11/23/23,23848
11/24/23,23096
11/25/23,22838
11/26/23,22874
11/27/23,22914
11/28/23,22661
11/29/23,22592
11/30/23,22639
12/1/23,22358
12/2/23,22177
12/3/23,22763
12/4/23,23284
12/5/23,23383
12/6/23,23183
12/7/23,22950
12/8/23,22143
12/9/23,21923
12/10/23,22417
12/11/23,22817
12/12/23,23049
12/13/23,22900
12/14/23,22985
12/15/23,22394
12/16/23,22188
12/17/23,22743
12/18/23,22959
12/19/23,22755
12/20/23,22393
12/21/23,21724
12/22/23,20652
12/23/23,20315
12/24/23,20584
12/25/23,20008
12/26/23,19528
12/27/23,19199
12/28/23,18304
12/29/23,16905
12/30/23,16677
12/31/23,16767
1/1/24,17638
1/2/24,19028
1/3/24,19612
1/4/24,19851
1/5/24,19603
1/6/24,19450
1/7/24,19903
1/8/24,21138
1/9/24,21723
1/10/24,21910
1/11/24,21895
1/12/24,21598
1/13/24,21413
1/14/24,21849
1/15/24,21923
1/16/24,22028
1/17/24,21995
1/18/24,21891
1/19/24,21304
1/20/24,21188
1/21/24,21555
1/22/24,22286
1/23/24,22466
1/24/24,22463
1/25/24,22237
1/26/24,21426
1/27/24,21181
1/28/24,21530
1/29/24,21890
1/30/24,21954
1/31/24,21877
2/1/24,21596
2/2/24,21306
2/3/24,21110
2/4/24,21148
2/5/24,21681
2/6/24,21595
2/7/24,21718
2/8/24,21731
2/9/24,21074
2/10/24,20866
2/11/24,21268
2/12/24,21305
2/13/24,21222
2/14/24,21311
2/15/24,21277
2/16/24,20651
2/17/24,20512
2/18/24,21128
2/19/24,21519
2/20/24,21345
2/21/24,21241
2/22/24,20970
2/23/24,20292
2/24/24,20090
2/25/24,20498
2/26/24,20914
2/27/24,21632
2/28/24,21793
2/29/24,21700
3/1/24,21236
3/2/24,21012
3/3/24,21418
3/4/24,21762
3/5/24,21779
3/6/24,21651
3/7/24,21450
3/8/24,20944
3/9/24,20874
3/10/24,21331
3/11/24,21429
3/12/24,21401
3/13/24,21320
3/14/24,20970
3/15/24,20524
3/16/24,20382
3/17/24,20696
3/18/24,21040
3/19/24,21065
3/20/24,21001
3/21/24,20899
3/22/24,20350
3/23/24,20103
3/24/24,20350
3/25/24,20687
3/26/24,20720
3/27/24,20699
3/28/24,20458
3/29/24,19924
3/30/24,19599
3/31/24,19839
4/1/24,20140
4/2/24,20080
4/3/24,19866
4/4/24,19551
4/5/24,19277
4/6/24,19146
4/7/24,19456
4/8/24,19915
4/9/24,19779
4/10/24,19698
4/11/24,19488
4/12/24,18797
4/13/24,18621
4/14/24,19039
4/15/24,19391
4/16/24,19591
4/17/24,19529
4/18/24,19530
4/19/24,19197
4/20/24,19072
4/21/24,19280
4/22/24,19157
4/23/24,19570
4/24/24,19136
4/25/24,18666
4/26/24,17566
4/27/24,17319
4/28/24,17613
4/29/24,17834
4/30/24,17784
5/1/24,17638
5/2/24,17381
5/3/24,16903
5/4/24,16752
5/5/24,17062
5/6/24,17300
5/7/24,17118
